ST,CNTYNAME,COV_NAME,STATEPLANE,STATEPLA_1,Acres
NV,Carson City,CARSON,4651,West Zone,99793.0742001
NV,Churchill,CHURCHILL,4651,West Zone,3213475.97849
NV,Clark,CLARK,4601,East Zone,5178065.64979
NV,Douglas,DOUGLAS,4651,West Zone,472314.043324
NV,Elko,ELKO,4601,East Zone,11007448.653
NV,Esmeralda,ESMERALDA,4651,West Zone,2295350.37569
NV,Eureka,EUREKA,4601,East Zone,2673372.99946
NV,Humboldt,HUMBOLDT,4651,West Zone,6177804.73225
NV,Lander,LANDER,4626,Central  Zone,3529613.93264
NV,Lincoln,LINCOLN,4601,East Zone,6808633.25358
NV,Lyon,LYON,4651,West Zone,1290610.89159
NV,Mineral,MINERAL,4651,West Zone,2439334.87577
NV,Nye,NYE,4626,Central  Zone,11613743.7609
NV,Pershing,PERSHING,4651,West Zone,3881614.54037
NV,Storey,STOREY,4651,West Zone,168888.056599
NV,Washoe,WASHOE,4651,West Zone,4194677.16056
NV,White Pine,WHITE_PINE,4601,East Zone,5694152.02276
